 诺基亚5230	 2013-04-17 230903	 省电，相对安卓。然后就没了。。。。	 好慢，扫描500多首歌用了10分钟。。。我去，软件安装也慢，反正一个字，慢。但是考虑到400mhz的U达到这样的水平我应该写到优点里去吧，	 诺基亚放弃塞班真不明智，塞班继续改改，还是能够非常好用的，可惜现在诺基亚越来越烂了
 诺基亚5230	 2012-05-24 093236	 1.价格便宜2.屏幕大3.S60v5系统4.触屏 支持3G5.5800的Copy版对于普通打工族，学生族来说，这款触屏倒是蛮适合的。价格不贵，屏幕够大上网速度也不错，音乐外放能力仍然继承着老大5800XM的风范。外观颜色也比较活泼许多有多种颜色可选。	 诺基亚5230摄像头比较鸡肋，而且没有LED闪光灯。运行内存比5800XM小了许多，标配2G卡	 诺基亚5230除了摄像头之外，其余的配置比例都很不错，对于拍照要求不高的朋友这个款机子的确是可以考虑入手的。听歌上网的能力表现非常不错！价格也适中。
 诺基亚5230	 2012-05-24 093236	 1.屏幕大，反应速度快.2.是智能机，支持3G.3.有内置GPS导航.4.有重力感应，可以玩很多游戏，相当爽.5.可以扩展到16G.6.性价比很高，有3个外壳，很时尚.7.上网速度蛮快的.	 1.电池一般.2没有WIFI.3.数据线太短.4.手机声音真的好小，会漏接电话.5.相机就是鸡肋，照出来的的效果一般.5.貌似短信只能一条一条的删，不知道是不是我没找到.6.塞班系统要搞证书签名，好麻烦.7.行货只有白色的，没有黑色的.	 虽然手机很好，性价比也高，但是用的有点郁闷，诺基亚你就不能阳光一点啊？数据线长点会死啊？行货手机居然没有黑色，你找骂是吧？还有那个塞班系统，你就不能事先把证书装到手机里啊？港版都有WIFI，到了大陆就没了，明摆欺负咱们.
 诺基亚5230	 2012-05-24 093236	 1.画面清晰够大分辨率高，电影，上网很爽. 2.运行速度快，装了几个软件没感觉会慢.3.功能强大，该有的功能差不多都有.4.音质不错.内外放都OK（最好自己再买个好点的耳机）5.待机时间可以（我的用两天）	 1.可以下载的第三方软件很少（相信会越来越多）2.手感一般（塑料的盖...）.3.有时会出现屏幕长亮的毛病.（不知道是不是自己手机的毛病	 总的来说是一款不错的机器.实用很值得购买，价格实惠.我在济南舜井街买的港行1300.
 诺基亚5230	 2012-05-24 093235	 1，屏够大，边缘很整洁，拿在手感很舒服2，屏在打电话的时候自动变黑屏很错，晚上很有用3，上网够劲，还是屏大的好处4，按键很合理，用起来上手快，没用的过诺机的也很上手5，支持的软件比较多	 1，屏在太阳光下很难看清楚，尤其是屏上的字体很小的时候2，通话音质很一般，没有想像中的好3，去商店装个软件死机了N次，不过，不用扣电池，只要强行退出就行，不知道是不是个别现象	 总之性价比还是很不错的，不过，还是适用于年轻人，听歌上网什么的不在话下，对通话音质很在意的，请不要考虑这个手机了。
 诺基亚5230	 2012-05-24 093235	 1.屏幕大，反应速度快.2.是智能机，支持3G.3.有内置GPS导航.4.有重力感应，可以玩很多游戏，相当爽.5.可以扩展到16G.6.性价比很高，有3个外壳，很时尚.7.上网速度蛮快的.	 1.电池一般.2没有WIFI.3.数据线太短.4.手机声音真的好小，会漏接电话.5.相机就是鸡肋，照出来的的效果一般.5.貌似短信只能一条一条的删，不知道是不是我没找到.6.塞班系统要搞证书签名，好麻烦.7.行货只有白色的，没有黑色的.	 虽然手机很好，性价比也高，但是用的有点郁闷，诺基亚你就不能阳光一点啊？数据线长点会死啊？行货手机居然没有黑色，你找骂是吧？还有那个塞班系统，你就不能事先把证书装到手机里啊？港版都有WIFI，到了大陆就没了，明摆欺负咱们.
 诺基亚5230	 2012-05-24 093235	 1、触摸 时尚 可以随意换颜色       2、反应挺快很多新的功能主要说缺点吧 1、因为是第五系统的新系统，所以相对于软件较少，特别是最简单的QQ和飞信都比较麻烦，必须要用虚拟键盘，用起来超级不舒服 2、用搜狗输入法聊天的时候特别容易死机，那个频率是相当高的 3、音乐效果差强人意吧 换了个线控耳机 基本上满意 但是耳机的质量不敢恭维了 4、像素不高，但是毕竟不是专业相机 所以要求并不是那么高的 5、闹钟功能有缺点，无法停止 6、触摸的很不习惯也不顺手	 <span class="nocon">无填写</span>	 买的有点后悔，虽然价钱很便宜，功能对得起这个价钱，但是毕竟系统太新了，很多软件都跟不上，所以建议用不习惯或注重聊天，音乐拍照的朋友慎重考虑~~
 诺基亚5230	 2012-05-22 131943	 各个方面都还不错的。上网速度还好吧。。	 缺点就是WIFI和摄像头还有大太阳下什么也看不到、遮住还勉强看到。这是诺基亚唯一最大的败笔。	 小5还是可以满足不玩机的人的。还好吧
 诺基亚5230	 2012-05-13 111443	 功能还不错	 开机很卡，要分把钟才能运行	 唉。说到诺基亚抗摔，我以前也是这么认为，可是这款5230,大年初二不小心从桌上上摔到地上，屏和触摸功能完全不能用了，大过年的跑到维修店，花了差不多两百块钱才修好，伤心啊。用了不到4个月，触屏又瘫痪了。。换个一般的触屏又花掉我60块钱。
 诺基亚5230	 2012-05-07 201910	 对于智能机来说，操作简单，就算是从来没有用过智能机都可以快速上手。抗摔能力真的很强，有次在很高地方摔了下来，电池都摔飞出去，开机之后只是发现喇叭有小小问题，出去维修好才几十块，约别的手机我看已经报废了。	 外形不美观。	 曾经用过，可是可恨的小偷。
 诺基亚5230	 2012-05-03 204135	 操作流畅，刚用几天无死机午花屏 。手机界面挺耐看的 ，应用啥的不能滑动 ，看来只能改主题才行。照相很好比htc灵感拍的要暗，光线不好的话摄像头就是鸡肋。触摸感不错和电容感觉一样 屏幕显示效果非常好细腻 。手感也不错 ，想入手的赶快入手把。前几天刚入手送个面条耳机，比htc灵感送的耳机音质差，不过低音效果很好，耳机的耳塞不行比灵感的硬，戴着难受。	 电池貌似也就一天一夜多半天，经常玩也就一天。这是个缺点啊！	 支持入手上网什么的都很好 ，发微博给力， 用着舒服啊。
 诺基亚5230	 2012-04-30 101730	 很耐用 有一次掉进水里然后过了十天才拿去修理都修好了 虽然留下很多后遗症 抗跌 这是诺基亚手机普遍特征 好几次从兜里掉出来一点事没有 处理器对于小5来说已经足够 像素之类的都还可以 	 126的内存实在太小开机之后大约就只剩百分之二三十的内存了 同时运行几个软件就有卡机现象 单点触控很不得劲 开网页看照片 都要在一旁移动发大滑轮 完全没有多点触控的那种时尚感 再就是电阻屏 因为用指甲触碰所以屏保不能像电容屏那样耐用 大约两个月左右一换塞班1的系统也渐渐过时想玩个好一点 视觉棒的游戏干脆没门 手机电池是通病都要一天一充 再就是那个扩音器声音实在是太小了 弄几首好歌像显摆显摆都因为声音太小....... 没有闪光灯 这对于爱拍照的朋友是个不小的问题 晚上遇到好的事想抓拍一下...你懂得	 我是在去年的八月份买的手机.当时感觉还可以..但随着科技的发展好手机的不断上市小5渐渐落伍..
 诺基亚5230	 2012-04-29 164207	 symbian 9.4 扩展性相对较强    音质较好      永久免费GPS还不错。。好像就没啥了	 用了两个多月。。觉得缺点挺多的。。       塞班的游戏很少。。几乎都记JAR的。。。没什么玩头。。电池看上去挺大  但上网稍微久一点  还是要一天一充。。S60v5   UI不是很方便。。。后台还不错   就是RAM运存太小 开着QQ音乐在线听歌 在浏览网页就很卡了   挂着QQ一般只能在开1、2个软件  如果开JAVA游戏的话  有时甚至会开不起。。最大的缺点应该是没有WIFI。。。智能机  费流量	 2月份买的 现在4月末 昨天已经买了N603 不建议入手
 诺基亚5230	 2012-04-11 174718	 性价比高  是从国产机向智能机转向的一个中端     200W像素日常生活照足够啦 质量不说啦。大家都晓得   本人掉地上N次　进水3次    表示一切正常 	 没有WIFI    没什么游戏可玩    1年内没问题   1年后会出现白屏 死机情况接打电话 电池将就能用一天吧 	 1000元左右  5230是不错的选择    性价比高  操作简单 实用 质量好    
 诺基亚5230	 2012-03-22 181634	 1 去年7月份入手的，价格900，香港行货带发票。绝不是翻新机。2 小5屏幕大，3.2的屏幕看上去很不错，比4.3的3.7的省电多了3 分辨率满足基本需求，画面细致4 音质还可以吧，戴耳机声音蛮大的，外放也可以，安静的地方听得清楚，太吵闹的地方开最大听不清。闲音量小的同学去买山寨机吧，那声音刚刚的。5 一些日常使用的QQ，UC，360等等软件都可以使用，满足日常需求。6 质量好，诺基亚的质量那不是一般的好，摔了几次，还完好无损，只是掉了点漆。手机没有白屏现象。	 塞班证书停止制作了，哥忍了快半年了，一直用直签签名，可是还是很多软件不能安装，哥前天刷机成功，终于解脱了证书的压力。摄像头就能拍拍风景人物什么的，要是想拍书上的字迹，那你还是用数码相机吧，毕竟价位在那。	 总体来说：小5的性能还是完全不错的，手机是来干什么的，还不是用来上网，看书，聊QQ的么，小5 完全能满足。总有人闲电池不耐用，那是所有智能机的通病，900块钱了，你还抱怨啥。要想玩很多游戏，那你们想HTC，摩托，苹果，三星，哪个电池耐用，手机不是让你来玩游戏的。小五质量很好，没得说。不管怎么样，哥依然支持塞班，支持诺基亚。不光质量，实用性也非常大。
 诺基亚5230	 2012-03-21 085232	 价格很有性价比，方便耐用，常用软件一般的都有，基本上可以满足那些非玩机人的需求了 	 没有WIFI是个缺点，高昂的流量费确实很恼火	 适合学生群体使用，价格500不贵，坚实耐用
 诺基亚5230	 2012-03-12 233554	 信号好，触摸屏，便宜，看下新闻小说还可以，耐用，用一年半了，摔了N次都没坏	 屏幕不怎么好，发短信有时都卡屏，系统不怎么好，系统都从装过几次	 不玩机的人开开眼，就日常用，屏幕大
 诺基亚5230	 2012-03-09 171900	 价格很有性价比，方便耐用，常用软件一般的都有，基本上可以满足那些非玩机人的需求了	 没有WIFI是个缺点，高昂的流量费确实很恼火	 适合学生群体使用，价格不贵，坚实耐用
